Customer_ID,product_names,price_as_$,purchase_Date,quantity,availability,rating,reviews_sum,total_spent,product_category,purchase_timestamp
C032,"Govee Smart LED Light Bars, Work with Alexa and Google Assistant, RGBICWW WiFi TV Backlights with Scene and Music Modes",29.99,2024-04-11,10,In Stock,4.6 out of 5 stars,5555,299.9,Govee,1712793600.0
C034,Large RGB Gaming Mouse Pad,11.99,2024-11-13,6,In Stock,4.6 out of 5 stars,4443,71.94,Large,1731456000.0
C036,"Gaming Headset for PC, Ps4, Ps5, Xbox Headset with 7.1 Surround Sound, Gaming Headphones with Noise Cancelling Mic RGB Light",25.68,2024-10-25,10,Only 3 left in stock - order soon.,4.4 out of 5 stars,4033,256.8,Gaming,1729814400.0
C037,"Logitech G733 Lightspeed Wireless Gaming Headset with Suspension Headband, Lightsync RGB, Blue VO!CE mic technology and PRO",88.98,2023-02-17,10,In Stock,4.4 out of 5 stars,16834,889.8000000000001,Logitech,1676592000.0
C040,"KDD Gaming Headphones Stand, Rotatable Headset Stand with Light Modes",29.95,2023-07-10,6,In Stock,4.6 out of 5 stars,2113,179.7,KDD,1688947200.0
C041,Sceptre 30,169.97,2024-04-11,10,In Stock,4.5 out of 5 stars,12036,1699.7,Sceptre,1712793600.0
C042,Razer BlackShark V2 X Gaming Headset: 7.1 Surround Sound,39.99,2024-05-12,10,Only 19 left in stock (more on the way).,4.4 out of 5 stars,19773,399.9,Razer,1715472000.0
C043,"MAONO Gaming USB Microphone, Noise Cancellation Condenser mic with Mute, Gain, Monitoring, Boom Arm for Streaming, Podcast, Twitch, YouTube, Discord,",48.99,2024-08-31,10,In Stock,4.5 out of 5 stars,2286,489.9,MAONO,1725062400.0
C044,3,21.99,2024-06-27,1,In Stock,4.5 out of 5 stars,607,21.99,3,1719446400.0
C046,Rotating Headphone Stand,13.99,2024-10-27,10,In Stock,4.7 out of 5 stars,27256,139.9,Rotating,1729987200.0
C047,"Gaming Microphone, USB PC Mic for Podcasts Videos, Streaming, Condenser Mic with Quick Mute, Tripod Stand, Pop Filter, RGB Indicator,",29.99,2024-04-11,7,In Stock,4.3 out of 5 stars,2184,209.93,Gaming,1712793600.0
C051,LG UltraGear QHD 27,299.99,2024-10-18,6,In Stock,4.6 out of 5 stars,12115,1799.94,LG,1729209600.0
C053,Corsair VOID RGB ELITE Wireless Gaming Headset,105.1,2024-04-08,3,In Stock,4.3 out of 5 stars,23029,315.29999999999995,Corsair,1712534400.0
C054,Redragon K585 DITI Wired One,36.99,2022-12-12,2,In Stock,4.3 out of 5 stars,8958,73.98,Redragon,1670803200.0
C056,"Casaottima L Shaped Gaming Desk, Corner Desk Gaming Table for Home Office, Computer Desk Sturdy Writing Workstation for Small Space,",66.66,2024-10-18,4,In Stock,4.5 out of 5 stars,950,266.64,Casaottima,1729209600.0
C057,"Acer Nitro 27"" WQHD 2560 x 1440 PC Gaming IPS Monitor | AMD FreeSync Premium Up to 180Hz Refresh 0.5ms",178.94,2024-08-18,8,In Stock,4.4 out of 5 stars,1360,1431.52,Acer,1723939200.0
C060,Sceptre Curved 24.5,127.97,2024-03-11,10,Temporarily out of stock.,4.4 out of 5 stars,6937,1279.7,Sceptre,1710115200.0
C063,"KontrolFreek Precision Rings | Aim Assist Motion Control for PlayStation 4, PS5, Xbox One, XBX, Switch Pro & Scuf Controller",10.99,2024-09-26,6,In Stock,4.0 out of 5 stars,9616,65.94,KontrolFreek,1727308800.0
C070,SteelSeries Apex 3 RGB Gaming Keyboard – 10,48.99,2024-08-10,5,In Stock,4.6 out of 5 stars,6939,244.95,SteelSeries,1723248000.0
C071,Gaming Headphone Stand PC Accessories,26.99,2024-02-12,1,In Stock,4.3 out of 5 stars,200,26.99,Gaming,1707696000.0
C072,Acer Nitro KG241Y Sbiip 23.8” Full HD VA Gaming Monitor | AMD FreeSync Premium Technology | 165Hz Refresh Rate |,94.99,2024-10-23,8,In Stock,4.5 out of 5 stars,2545,759.92,Acer,1729641600.0
C075,Razer Barracuda X Wireless Gaming & Mobile Headset: 2.4GHz Wireless + Bluetooth,79.99,2024-06-27,1,In Stock,4.1 out of 5 stars,3182,79.99,Razer,1719446400.0
C077,Womier S,55.98,2024-04-11,4,In Stock,4.6 out of 5 stars,585,223.92,Womier,1712793600.0
